tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group2,1495.0,0.311619,464.0,3333.2103
16,Group1,3853.0,0.732761,2816.0,2191.8802
16,Group1,3769.0,0.706682,2496.0,944.0893
16,Group2,2221.0,0.534296,1184.0,5038.961
16,Group2,2225.0,0.785586,1744.0,2210.4006
16,Group1,2171.0,0.538334,976.0,5059.3728
16,Group2,709.0,0.955903,672.0,5054.6548
16,Group1,3854.0,0.73257,2816.0,5028.5929
16,Group2,2588.0,0.600852,1552.0,5059.7359
16,Group1,2222.0,0.532847,1168.0,2196.353
16,Group1,2503.0,0.543689,1232.0,5039.8875
16,Group2,570.0,0.93617,528.0,2234.8641
16,Group2,165.0,0.5,80.0,5042.9842
16,Group1,1243.0,0.873449,1056.0,5056.815
16,Group2,2125.0,0.701887,1488.0,5066.0316
16,Group1,1326.0,0.877876,992.0,5069.4421
16,Group2,667.0,0.700906,464.0,2217.2037
16,Group1,4895.0,0.79065,3856.0,7798.5246
16,Group2,596.0,0.947547,560.0,7846.6089
16,Group2,1741.0,0.405764,704.0,7854.3809
16,Group2,831.0,0.796117,656.0,7860.2473
16,Group1,2379.0,0.564626,1328.0,7841.5498
16,Group2,2941.0,0.757493,2224.0,7794.979
16,Group2,3251.0,0.680222,2208.0,7864.0798
16,Group1,4878.0,0.784314,3760.0,7818.5055
16,Group1,3370.0,0.675633,2160.0,7824.224
16,Group1,4898.0,0.790164,3856.0,7897.1512
16,Group1,3612.0,0.707483,2496.0,7813.4045
16,Group2,3619.0,0.717211,2592.0,7816.223
16,Group1,1681.0,0.753517,1232.0,7848.574
16,Group2,256.0,0.63745,160.0,7899.267
16,Group1,3259.0,0.679803,2208.0,769.2944
16,Group2,3156.0,0.675341,2128.0,7796.2588
16,Group1,6190.0,0.826608,4896.0,10819.2991
16,Group2,983.0,0.850716,832.0,3603.8648
16,Group1,4611.0,0.764505,3360.0,10798.2036
16,Group2,2773.0,0.624503,1728.0,3639.8165
16,Group2,302.0,0.861953,256.0,10781.3838
16,Group1,4342.0,0.757993,3248.0,10748.0393
16,Group1,6188.0,0.826887,4896.0,1509.2865
16,Group2,4650.0,0.778471,3616.0,10795.1158
16,Group1,6048.0,0.823848,4864.0,10824.3043
16,Group2,3973.0,0.742123,2944.0,10775.9999
16,Group1,1847.0,0.961649,1680.0,3607.7932
16,Group2,640.0,0.932283,592.0,10749.8879
16,Group2,4187.0,0.753706,3152.0,10741.7239
16,Group1,4782.0,0.776197,3600.0,3614.3626
16,Group2,4281.0,0.759588,3248.0,10815.4592
16,Group1,3479.0,0.695652,2368.0,3618.3487
16,Group1,7497.0,0.858093,6192.0,12997.9076
16,Group2,671.0,0.960961,640.0,13086.7137
16,Group2,5217.0,0.801228,4176.0,13063.003
16,Group2,5311.0,0.805126,4272.0,13126.74
16,Group2,1599.0,0.612296,976.0,1362.5685
16,Group2,5681.0,0.820296,4656.0,13051.4867
16,Group2,4433.0,0.896116,3968.0,13054.3541
16,Group1,2081.0,0.934959,1840.0,13030.161
16,Group1,5899.0,0.820937,4768.0,13004.2223
16,Group1,7165.0,0.854962,6048.0,12974.7188
16,Group1,7495.0,0.858331,6192.0,13025.2451
16,Group2,3804.0,0.728805,2768.0,13122.3835
16,Group2,353.0,0.873563,304.0,1408.4172
16,Group1,5564.0,0.80775,4336.0,13067.7073
16,Group1,4636.0,0.770699,3472.0,13080.3381
16,Group1,5657.0,0.817456,4608.0,1221.5688
16,Group1,6785.0,0.845256,5648.0,9151.3077
16,Group1,8810.0,0.878564,7488.0,9118.6219
16,Group1,6678.0,0.842489,5552.0,14875.1322
16,Group2,1133.0,0.58156,656.0,262.9073
16,Group2,4836.0,0.785093,3792.0,9190.8235
16,Group1,2724.0,0.929817,2080.0,9239.1452
16,Group2,1917.0,0.838574,1600.0,9190.4779
16,Group1,8433.0,0.873153,7152.0,14868.8951
16,Group2,6712.0,0.846876,5680.0,14839.9051
16,Group1,7167.0,0.850253,5888.0,14845.2801
16,Group1,8808.0,0.880648,7504.0,16751.5614
16,Group1,5685.0,0.819498,4640.0,9155.9747
16,Group2,5464.0,0.81187,4432.0,9124.4572
16,Group2,1384.0,0.255257,352.0,9217.8108
16,Group2,6249.0,0.83563,5216.0,9210.9423
16,Group2,6341.0,0.835859,5296.0,9147.383
16,Group2,5867.0,0.824433,4832.0,4607.564
16,Group2,1184.0,0.949958,1120.0,17173.2066
16,Group2,7282.0,0.857732,6240.0,17109.9569
16,Group1,9602.0,0.891426,8432.0,17243.1944
16,Group2,7372.0,0.860052,6336.0,17223.9418
16,Group1,6272.0,0.93993,5680.0,17202.9278
16,Group2,2245.0,0.857143,1920.0,17143.0355
16,Group2,1439.0,0.959554,1376.0,17229.4207
16,Group1,9844.0,0.896299,8816.0,17199.4862
16,Group1,9842.0,0.896482,8816.0,1952.1954
16,Group1,3019.0,0.927062,2720.0,17135.6947
16,Group1,8053.0,0.86863,6784.0,4612.0054
16,Group1,7732.0,0.866044,6672.0,17106.8506
16,Group2,7743.0,0.868441,6720.0,17139.0951
16,Group1,8336.0,0.87294,7152.0,17251.5235
16,Group2,6497.0,0.843143,5472.0,17175.586
16,Group1,8847.0,0.882393,7728.0,17032.9571
16,Group1,10714.0,0.903274,9600.0,17029.0672
16,Group1,3515.0,0.874927,3008.0,13440.8074
16,Group2,1228.0,0.968111,1184.0,13465.8856
16,Group1,10879.0,0.90541,9840.0,13399.222
16,Group1,9448.0,0.890408,8336.0,13340.5907
16,Group2,8773.0,0.998175,8752.0,13377.1638
16,Group1,10882.0,0.905161,9840.0,13452.5881
16,Group2,8406.0,0.876399,7360.0,13457.9518
16,Group2,8312.0,0.876369,7280.0,13342.394
16,Group2,2415.0,0.936488,2256.0,266.0018
