estimated_prefill_fraction,tenant_count,turn_index,tenant_id,history_limit_tokens,ttft_ms,blocking_ms,estimated_prefill_ms,estimated_remaining_ttft_ms,input_tokens,prefix_hit_tokens,computation_tokens
0.5,32,3,4,24576,20058.5228,384.6413,9836.94075,9836.94075,4866.0,2544.0,2322.0
0.5,32,3,8,24576,10193.0621,0.2049,5096.428599999999,5096.428599999999,4554.0,2240.0,2314.0
0.5,32,4,8,24576,39804.5585,2433.7605,18685.399,18685.399,6841.0,4544.0,2297.0
0.5,32,4,20,12288,24237.3571,0.2361,12118.560500000001,12118.560500000001,2004.0,1264.0,740.0
0.5,32,4,22,12288,6284.7719,0.1055,3142.3332,3142.3332,2005.0,1264.0,741.0
0.5,32,4,29,12288,6235.3902,0.0509,3117.66965,3117.66965,2169.0,1568.0,601.0
0.5,32,4,30,12288,6384.0752,0.1488,3191.9632,3191.9632,2169.0,1568.0,601.0
0.5,32,4,18,12288,6195.3394,0.016,3097.6617,3097.6617,2005.0,1264.0,741.0
0.5,32,4,21,12288,39880.1264,2433.8277,18723.14935,18723.14935,2004.0,1264.0,740.0
0.5,32,4,27,12288,39924.0729,0.2024,19961.93525,19961.93525,2860.0,2256.0,604.0
0.5,32,4,23,12288,39921.3424,2433.8947,18743.723850000002,18743.723850000002,2004.0,1264.0,740.0
0.5,32,4,4,24576,24330.103,0.3832,12164.8599,12164.8599,6925.0,4864.0,2061.0
0.5,32,4,19,12288,24234.0643,0.2194,12116.922449999998,12116.922449999998,2002.0,1264.0,738.0
0.5,32,4,1,24576,6255.555,0.0682,3127.7434000000003,3127.7434000000003,6951.0,4864.0,2087.0
0.5,32,4,7,24576,39838.9768,2433.7774,18702.5997,18702.5997,6841.0,4544.0,2297.0
0.5,32,4,11,24576,39873.0917,2433.8108,18719.64045,18719.64045,6840.0,4544.0,2296.0
0.5,32,4,26,12288,6290.5665,0.1244,3145.22105,3145.22105,2004.0,1264.0,740.0
0.5,32,4,6,24576,24274.1709,0.3039,12136.933500000001,12136.933500000001,7181.0,5088.0,2093.0
0.5,32,4,5,24576,24268.3611,0.2871,12134.036999999998,12134.036999999998,6951.0,4544.0,2407.0
0.5,32,4,25,12288,42403.2492,18156.0699,12123.58965,12123.58965,2004.0,1264.0,740.0
0.5,32,4,16,24576,6239.0109,0.033,3119.48895,3119.48895,6611.0,4336.0,2275.0
0.5,32,4,13,24576,39917.6457,2433.8777,18741.884000000002,18741.884000000002,6841.0,4544.0,2297.0
0.5,32,4,2,24576,24245.1054,0.2704,12122.4175,12122.4175,7274.0,5024.0,2250.0
0.5,32,4,17,12288,24302.0993,0.3399,12150.879700000001,12150.879700000001,2004.0,1264.0,740.0
0.5,32,4,31,12288,6260.5926,0.0867,3130.25295,3130.25295,2171.0,1568.0,603.0
0.5,32,4,12,24576,42416.039,2433.7439,19991.147549999998,19991.147549999998,6840.0,4544.0,2296.0
0.5,32,4,10,24576,39900.3696,2433.8613,18733.25415,18733.25415,6841.0,4544.0,2297.0
0.5,32,4,14,24576,39840.6282,2433.7938,18703.4172,18703.4172,6841.0,4544.0,2297.0
0.5,32,4,15,24576,24301.6301,0.3215,12150.6543,12150.6543,6840.0,4544.0,2296.0
0.5,32,4,9,24576,8622.169,0.0078,4311.0806,4311.0806,6840.0,4544.0,2296.0
0.5,32,4,28,12288,24247.5901,0.2531,12123.6685,12123.6685,2725.0,2192.0,533.0
0.5,32,4,3,24576,24328.743,0.3592,12164.1919,12164.1919,6926.0,4864.0,2062.0
0.5,32,4,32,12288,455.026,0.0492,227.4884,227.4884,2169.0,1568.0,601.0
0.5,32,4,24,12288,39894.4119,2433.8443,18730.2838,18730.2838,2004.0,1264.0,740.0
0.5,32,5,2,24576,25903.1855,0.0287,12951.5784,12951.5784,9351.0,7264.0,2087.0
0.5,32,5,10,24576,48103.2694,0.1393,24051.565049999997,24051.565049999997,8974.0,6832.0,2142.0
0.5,32,5,20,12288,16809.5132,0.2619,8404.62565,8404.62565,2710.0,2000.0,710.0
0.5,32,5,30,12288,480.6417,0.0619,240.28990000000002,240.28990000000002,2746.0,2160.0,586.0
0.5,32,5,31,12288,48145.5933,0.2039,24072.6947,24072.6947,2746.0,2160.0,586.0
0.5,32,5,28,12288,16702.7664,0.0848,8351.3408,8351.3408,3280.0,2720.0,560.0
0.5,32,5,27,12288,16754.7262,0.19,8377.268100000001,8377.268100000001,3392.0,2848.0,544.0
0.5,32,5,32,12288,25870.2409,0.0135,12935.1137,12935.1137,2746.0,2160.0,586.0
0.5,32,5,17,12288,16692.7356,0.0679,8346.33385,8346.33385,2710.0,2000.0,710.0
