exp_label,turn_index,tenant_id,group_label,prefill_ms,computation_tokens,first_token_ts,rank_in_batch,delay_from_earliest_first_token_ms,delta_from_prev_delay_ms
exp1,8,11,Group1,40559.311499999996,1283.0,0.0,14,0.0,0.0
exp1,8,21,Group2,40531.2768,1106.0,0.0,15,0.0,0.0
exp1,8,13,Group1,40502.024399999995,1274.0,0.0,16,0.0,0.0
exp1,8,25,Group2,19861.597800000003,1110.0,0.0,17,0.0,0.0
exp1,8,28,Group2,19971.9577,1051.0,0.0,18,0.0,0.0
exp1,8,2,Group1,40593.878600000004,1063.0,0.0,19,0.0,0.0
exp1,8,31,Group2,19942.901799999996,1175.0,0.0,20,0.0,0.0
exp1,8,10,Group1,40456.09090000001,1283.0,0.0,21,0.0,0.0
exp1,8,3,Group1,19990.1944,1321.0,0.0,22,0.0,0.0
exp1,8,20,Group2,19828.185400000002,1108.0,0.0,23,0.0,0.0
exp1,8,23,Group2,19886.523,1110.0,0.0,24,0.0,0.0
exp1,8,12,Group1,19934.6073,1277.0,0.0,25,0.0,0.0
exp1,8,6,Group1,19893.479999999996,1112.0,0.0,26,0.0,0.0
exp1,8,26,Group2,40479.009999999995,1111.0,0.0,27,0.0,0.0
exp1,8,14,Group1,40497.06570000001,1278.0,0.0,28,0.0,0.0
exp1,8,9,Group1,40588.145300000004,1268.0,0.0,29,0.0,0.0
exp1,8,7,Group1,19922.805800000002,451.0,0.0,30,0.0,0.0
exp1,9,32,Group2,5486.3767,1141.0,0.0,1,0.0,0.0
exp1,9,26,Group2,1968.8104,1341.0,0.0,2,0.0,0.0
exp1,9,4,Group1,43956.69990000001,4053.0,0.0,3,0.0,0.0
exp1,9,17,Group2,27351.433699999998,1347.0,0.0,4,0.0,0.0
exp1,9,23,Group2,27416.168299999998,1339.0,0.0,5,0.0,0.0
exp1,9,10,Group1,27359.3076,1172.0,0.0,6,0.0,0.0
exp1,9,12,Group1,5488.4933,1182.0,0.0,7,0.0,0.0
exp1,9,11,Group1,27457.3554,1172.0,0.0,8,0.0,0.0
exp1,9,2,Group1,27561.0591,1262.0,0.0,9,0.0,0.0
exp1,9,25,Group2,27487.185100000002,1340.0,0.0,10,0.0,0.0
exp1,9,15,Group1,27481.601899999998,1170.0,0.0,11,0.0,0.0
exp1,9,3,Group1,27391.583,1027.0,0.0,12,0.0,0.0
exp1,9,19,Group2,27450.857200000002,1345.0,0.0,13,0.0,0.0
exp1,9,30,Group2,27411.9522,1139.0,0.0,14,0.0,0.0
exp1,9,16,Group1,27530.475899999998,1338.0,0.0,15,0.0,0.0
exp1,9,22,Group2,27532.809,415.0,0.0,16,0.0,0.0
exp1,9,1,Group1,27397.3665,554.0,0.0,17,0.0,0.0
exp1,9,27,Group2,27560.0837,1057.0,0.0,18,0.0,0.0
exp1,10,17,Group2,1983.5361,1187.0,0.0,1,0.0,0.0
exp1,10,1,Group1,18917.949,2973.0,0.0,2,0.0,0.0
exp1,10,22,Group2,37896.9986,1182.0,0.0,3,0.0,0.0
exp1,10,11,Group1,18857.132400000002,1116.0,0.0,4,0.0,0.0
exp1,10,21,Group2,18915.210300000002,1192.0,0.0,5,0.0,0.0
exp1,10,3,Group1,18887.270899999996,1041.0,0.0,6,0.0,0.0
exp1,10,24,Group2,18939.571000000004,1190.0,0.0,7,0.0,0.0
exp1,10,6,Group1,37866.5722,1120.0,0.0,8,0.0,0.0
exp1,10,10,Group1,18950.238100000002,1116.0,0.0,9,0.0,0.0
exp1,10,12,Group1,56791.756,9910.0,0.0,10,0.0,0.0
exp1,10,30,Group2,37872.4546,1168.0,0.0,11,0.0,0.0
exp1,10,2,Group1,37902.9637,1100.0,0.0,12,0.0,0.0
exp1,10,19,Group2,18893.674099999997,1184.0,0.0,13,0.0,0.0
exp1,10,26,Group2,37972.24110000001,8573.0,0.0,14,0.0,0.0
exp2,1,31,Group2,319.7977,5.0,0.0,1,0.0,0.0
exp2,1,5,Group1,607.936,69.0,0.0,2,0.0,0.0
exp2,1,29,Group2,574.1042000000001,5.0,0.0,3,0.0,0.0
exp2,1,19,Group2,615.8734000000001,15.0,0.0,4,0.0,0.0
exp2,1,12,Group1,111.87049999999999,2.0,0.0,5,0.0,0.0
exp2,1,6,Group1,637.6427000000001,840.0,0.0,6,0.0,0.0
exp2,1,2,Group1,630.3446999999999,8.0,0.0,7,0.0,0.0
exp2,1,18,Group2,605.9558999999999,15.0,0.0,8,0.0,0.0
exp2,1,23,Group2,114.6907,15.0,0.0,9,0.0,0.0
exp2,1,1,Group1,577.9655,636.0,0.0,10,0.0,0.0
exp2,1,28,Group2,620.7151,586.0,0.0,11,0.0,0.0
exp2,1,14,Group1,592.8988,2.0,0.0,12,0.0,0.0
exp2,1,20,Group2,315.4012,15.0,0.0,13,0.0,0.0
exp2,1,24,Group2,109.82409999999999,15.0,0.0,14,0.0,0.0
exp2,1,22,Group2,147.63590000000002,15.0,0.0,15,0.0,0.0
exp2,1,4,Group1,159.13439999999997,243.0,0.0,16,0.0,0.0
exp2,1,17,Group2,603.6666,15.0,0.0,17,0.0,0.0
exp2,1,3,Group1,578.8295999999999,3.0,0.0,18,0.0,0.0
exp2,1,11,Group1,149.71189999999999,2.0,0.0,19,0.0,0.0
exp2,1,9,Group1,116.16699999999999,2.0,0.0,20,0.0,0.0
exp2,1,21,Group2,620.0343,15.0,0.0,21,0.0,0.0
exp2,1,7,Group1,310.05240000000003,2.0,0.0,22,0.0,0.0
exp2,1,10,Group1,599.0884000000001,2.0,0.0,23,0.0,0.0
exp2,1,32,Group2,594.9247,5.0,0.0,24,0.0,0.0
exp2,1,27,Group2,307.85040000000004,905.0,0.0,25,0.0,0.0
exp2,1,16,Group1,133.4788,47.0,0.0,26,0.0,0.0
exp2,1,30,Group2,324.7498,53.0,0.0,27,0.0,0.0
exp2,1,26,Group2,586.006,15.0,0.0,28,0.0,0.0
exp2,1,13,Group1,586.4138,2.0,0.0,29,0.0,0.0
exp2,1,25,Group2,581.5404,15.0,0.0,30,0.0,0.0
exp2,1,8,Group1,126.12819999999999,50.0,0.0,31,0.0,0.0
exp2,1,15,Group1,628.7807999999999,1.0,0.0,32,0.0,0.0
exp2,2,27,Group2,4438.525699999999,1353.0,0.0,1,0.0,0.0
exp2,2,10,Group1,4444.6402,713.0,0.0,2,0.0,0.0
exp2,2,2,Group1,3524.6715,172.0,0.0,3,0.0,0.0
exp2,2,1,Group1,3516.767,154.0,0.0,4,0.0,0.0
exp2,2,23,Group2,3531.6989999999996,431.0,0.0,5,0.0,0.0
exp2,2,18,Group2,3445.0718,224.0,0.0,6,0.0,0.0
exp2,2,24,Group2,3511.2055,441.0,0.0,7,0.0,0.0
exp2,2,17,Group2,3445.1584,484.0,0.0,8,0.0,0.0
exp2,2,11,Group1,3455.3793999999994,1168.0,0.0,9,0.0,0.0
exp2,2,16,Group1,3483.6691,1076.0,0.0,10,0.0,0.0
exp2,2,32,Group2,3454.0492,1275.0,0.0,11,0.0,0.0
exp2,2,15,Group1,4459.9985,184.0,0.0,12,0.0,0.0
exp2,2,12,Group1,4435.6678999999995,412.0,0.0,13,0.0,0.0
exp2,2,6,Group1,3464.9626000000003,221.0,0.0,14,0.0,0.0
exp2,2,26,Group2,4430.258999999999,1077.0,0.0,15,0.0,0.0
exp2,2,3,Group1,3493.9683999999997,1285.0,0.0,16,0.0,0.0
exp2,2,31,Group2,410.67269999999996,1275.0,0.0,17,0.0,0.0
exp2,2,30,Group2,3460.5050000000006,1275.0,0.0,18,0.0,0.0
exp2,2,4,Group1,3466.3192,665.0,0.0,19,0.0,0.0
exp2,2,9,Group1,3498.4292000000005,562.0,0.0,20,0.0,0.0
exp2,2,28,Group2,3437.2371,989.0,0.0,21,0.0,0.0
exp2,2,14,Group1,3449.3048,445.0,0.0,22,0.0,0.0
exp2,2,25,Group2,4485.0738,1077.0,0.0,23,0.0,0.0
exp2,2,13,Group1,3498.4929,664.0,0.0,24,0.0,0.0
exp2,2,5,Group1,3478.9688,262.0,0.0,25,0.0,0.0
exp2,2,22,Group2,3521.8257000000003,1077.0,0.0,26,0.0,0.0
exp2,2,8,Group1,3440.8332,1152.0,0.0,27,0.0,0.0
exp2,2,21,Group2,3524.701,1077.0,0.0,28,0.0,0.0
exp2,2,20,Group2,3523.3911,215.0,0.0,29,0.0,0.0
exp2,2,19,Group2,3484.6887000000006,86.0,0.0,30,0.0,0.0
exp2,2,7,Group1,3457.1149,746.0,0.0,31,0.0,0.0
exp2,2,29,Group2,4455.9526000000005,316.0,0.0,32,0.0,0.0
exp2,3,3,Group1,5937.0392,1298.0,0.0,1,0.0,0.0
exp2,3,26,Group2,5975.3631000000005,917.0,0.0,2,0.0,0.0
exp2,3,11,Group1,552.6058,811.0,0.0,3,0.0,0.0
exp2,3,17,Group2,6025.204,408.0,0.0,4,0.0,0.0
exp2,3,5,Group1,6063.6622,1157.0,0.0,5,0.0,0.0
exp2,3,16,Group1,5932.2238,409.0,0.0,6,0.0,0.0
exp2,3,24,Group2,5912.502799999999,373.0,0.0,7,0.0,0.0
exp2,3,6,Group1,9480.990099999999,1170.0,0.0,8,0.0,0.0
exp2,3,15,Group1,6015.5302,1136.0,0.0,9,0.0,0.0
exp2,3,20,Group2,6002.1541,1175.0,0.0,10,0.0,0.0
exp2,3,13,Group1,5962.288500000001,1298.0,0.0,11,0.0,0.0
exp2,3,21,Group2,5920.7169,1173.0,0.0,12,0.0,0.0
exp2,3,2,Group1,5977.753500000001,186.0,0.0,13,0.0,0.0
exp2,3,32,Group2,9521.866,1283.0,0.0,14,0.0,0.0
exp2,3,12,Group1,5991.741099999999,1302.0,0.0,15,0.0,0.0
exp2,3,4,Group1,9480.9458,1262.0,0.0,16,0.0,0.0
exp2,3,19,Group2,5925.8598999999995,272.0,0.0,17,0.0,0.0
exp2,3,18,Group2,204.53000000000003,395.0,0.0,18,0.0,0.0
exp2,3,23,Group2,6037.5405,345.0,0.0,19,0.0,0.0
exp2,3,10,Group1,6018.8703000000005,363.0,0.0,20,0.0,0.0
