exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp1,6,fastest,25,Group2,3,13697.798200009856,14034.5815,74.0,1188.0,0.9380234505862647
exp1,6,fastest,15,Group1,4,13705.518000002485,14043.2734,1170.0,5138.0,0.7784929950776222
exp1,6,slowest,31,Group2,21,13873.806599993259,14209.7217,1044.0,4350.0,0.7603305785123967
exp1,6,slowest,13,Group1,22,19740.183799993247,20078.295400000003,1184.0,5760.0,0.7994579945799458
exp1,6,slowest,22,Group2,23,19744.648799998686,20081.8358,87.0,402.0,0.7862407862407862
exp1,6,slowest,32,Group2,24,19837.112000008347,20173.2113,777.0,2307.0,0.6640726329442282
exp1,7,fastest,17,Group2,1,0.0,1095.63,1040.0,5019.0,0.7929936305732485
exp1,7,fastest,21,Group2,2,852.7169000299182,1947.9741000000001,1040.0,4939.0,0.7896440129449838
exp1,7,fastest,20,Group2,3,861.3880000193603,1956.7342,41.0,324.0,0.8753799392097265
exp1,7,fastest,25,Group2,4,16175.522300007287,17270.183500000003,1042.0,2220.0,0.531895777178796
exp1,7,slowest,6,Group1,19,16329.392400017241,17425.690300000002,1229.0,5417.0,0.7810440049884197
exp1,7,slowest,7,Group1,20,16344.376499997452,17440.554700000004,1117.0,7074.0,0.8441032798325192
exp1,7,slowest,4,Group1,21,16349.916400009533,17446.3708,1306.0,7217.0,0.8258202187249933
exp1,7,slowest,8,Group1,22,24496.471100021154,25592.852,1128.0,6365.0,0.8252788104089219
exp1,8,fastest,29,Group2,1,0.0,1013.9743000000001,1035.0,4742.0,0.7819675584579735
exp1,8,fastest,25,Group2,2,18157.33250003541,19171.473,1034.0,3252.0,0.6826273787599755
exp1,8,fastest,7,Group1,3,18179.941000038525,19195.847599999997,1281.0,8191.0,0.848096762717894
exp1,8,fastest,22,Group2,4,18184.075700002722,19198.499200000002,146.0,619.0,0.7667731629392971
exp1,8,slowest,30,Group2,29,30983.58170001302,31943.5036,38.0,864.0,0.9563218390804598
exp1,8,slowest,12,Group1,30,31011.544200009666,31973.208599999998,1273.0,6487.0,0.8108188438103731
exp1,8,slowest,8,Group1,31,31015.624900028342,31977.710700000003,1276.0,7482.0,0.8348006214396686
exp1,8,slowest,31,Group2,32,31043.17700001411,32056.734400000005,1044.0,6414.0,0.8373831775700935
exp1,9,fastest,18,Group2,1,0.0,1665.994,1033.0,8244.0,0.8747726997211783
exp1,9,fastest,28,Group2,2,18406.04520001216,20070.873400000004,1044.0,8255.0,0.8736077481840193
exp1,9,fastest,8,Group1,3,18412.367700017057,20079.1607,1181.0,8750.0,0.867198920499269
exp1,9,fastest,1,Group1,4,18416.181000007782,20083.6573,380.0,4647.0,0.9196956889264581
exp1,9,slowest,31,Group2,29,31968.620600004215,33576.361600000004,1036.0,7446.0,0.8609769189479335
exp1,9,slowest,3,Group1,30,31985.69940001471,33596.2056,105.0,7105.0,0.9852382960776044
