exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,prefix_hit_rate,kv_history_tokens,resident_kv_mib,computation_tokens,prefill_ms,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_pressure_ratio,estimated_prefill_rounds_ratio,joint_compute_x_pressure,joint_compute_x_rounds,compute_over_hit_ratio,context_plus_compute
exp1,2,3,Group1,1525.0,240.0,0.15737704918032788,1269.0,39.65625,1285.0,3493.9683999999997,22553.0,731.34375,0.714202880859375,2.7530517578125,917.7507019042969,3537.6715087890625,5.354166666666667,2554.0
exp1,2,31,Group2,1323.0,48.0,0.036281179138321996,1079.0,33.71875,1275.0,410.67269999999996,22553.0,731.34375,0.714202880859375,2.7530517578125,910.6086730957031,3510.1409912109375,26.5625,2354.0
exp1,2,30,Group2,1323.0,48.0,0.036281179138321996,1079.0,33.71875,1275.0,3460.5050000000006,22553.0,731.34375,0.714202880859375,2.7530517578125,910.6086730957031,3510.1409912109375,26.5625,2354.0
exp1,2,4,Group1,905.0,240.0,0.26519337016574585,649.0,20.28125,665.0,3466.3192,22553.0,731.34375,0.714202880859375,2.7530517578125,474.9449157714844,1830.7794189453125,2.7708333333333335,1314.0
exp1,2,9,Group1,610.0,48.0,0.07868852459016394,470.0,14.6875,562.0,3498.4292000000005,22553.0,731.34375,0.714202880859375,2.7530517578125,401.38201904296875,1547.215087890625,11.708333333333334,1032.0
exp1,2,28,Group2,1565.0,576.0,0.3680511182108626,980.0,30.625,989.0,3437.2371,22553.0,731.34375,0.714202880859375,2.7530517578125,706.3466491699219,2722.7681884765625,1.7170138888888888,1969.0
exp1,2,14,Group1,493.0,48.0,0.0973630831643002,353.0,11.03125,445.0,3449.3048,22553.0,731.34375,0.714202880859375,2.7530517578125,317.8202819824219,1225.1080322265625,9.270833333333334,798.0
exp1,2,25,Group2,1125.0,48.0,0.042666666666666665,1073.0,33.53125,1077.0,4485.0738,22553.0,731.34375,0.714202880859375,2.7530517578125,769.1965026855469,2965.0367431640625,22.4375,2150.0
exp1,2,13,Group1,712.0,48.0,0.06741573033707865,572.0,17.875,664.0,3498.4929,22553.0,731.34375,0.714202880859375,2.7530517578125,474.230712890625,1828.0263671875,13.833333333333334,1236.0
exp1,2,5,Group1,326.0,64.0,0.19631901840490798,78.0,2.4375,262.0,3478.9688,22553.0,731.34375,0.714202880859375,2.7530517578125,187.12115478515625,721.299560546875,4.09375,340.0
