exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp2,6,fastest,25,Group2,3,18891.274805995636,18890.90675499756,684.0,3223.0,0.7981109799291618
exp2,6,fastest,21,Group2,4,18891.274805995636,18890.90675499756,685.0,3224.0,0.7978754794924756
exp2,6,slowest,8,Group1,22,56083.53922201786,37191.70970004052,2208.0,11024.0,0.8022922636103151
exp2,6,slowest,1,Group1,23,56083.53922201786,37191.70970004052,2155.0,11095.0,0.8075033497096918
exp2,6,slowest,4,Group1,24,56083.53922201786,37191.70970004052,2315.0,11040.0,0.7952595737153976
exp2,6,slowest,20,Group2,25,71931.6164390184,53039.786917041056,682.0,3222.0,0.7985823981098642
exp2,7,fastest,27,Group2,1,0.0,596.6035269666463,530.0,4488.0,0.8821698532681191
exp2,7,fastest,19,Group2,2,18988.303946040105,18987.565957999323,3965.0,3900.0,0.01196112633939696
exp2,7,slowest,22,Group2,8,18988.303946040105,18987.565957999323,640.0,3903.0,0.8406374501992032
exp2,7,slowest,26,Group2,9,38671.15739599103,38670.41940795025,3968.0,3903.0,0.01195219123505976
exp2,8,fastest,29,Group2,1,0.0,2480.9385359985754,4790.0,4644.0,0.0
exp2,8,fastest,20,Group2,2,26074.40201198915,26073.663944960572,4558.0,4527.0,0.010421189752496743
exp2,8,fastest,6,Group1,3,26074.40201198915,26073.663944960572,2135.0,15647.0,0.8643152208452495
exp2,8,slowest,3,Group1,10,44087.53457001876,44033.50430302089,2331.0,15692.0,0.8541210338569373
exp2,8,slowest,14,Group1,11,44087.53457001876,44033.50430302089,2305.0,15359.0,0.8522530607012371
exp2,8,slowest,19,Group2,12,52159.67354300665,52105.64327600878,4559.0,4527.0,0.010418927718688952
exp2,9,fastest,8,Group1,1,0.0,6528.934389993083,2193.0,17650.0,0.8767492834260664
