exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,3,5,Group1,0.3344,792.0,368.0,0.46464646464646464,424.0,667.0,6640.9277,132036.6417621,32,1.0,6204.936399997678
exp1,3,28,Group2,0.295,2075.0,1040.0,0.5012048192771085,1035.0,2070.0,6630.648699999999,132036.6337437,30,0.9375,6196.91800000146
exp1,3,19,Group2,0.1228,885.0,352.0,0.3977401129943503,533.0,880.0,2110.6178,132032.1126406,12,0.375,1675.814900023397
exp1,3,26,Group2,0.0455,1186.0,608.0,0.5126475548060708,578.0,1181.0,2066.4011,132032.0690466,3,0.09375,1632.2209000063594
exp1,3,24,Group2,0.1211,330.0,240.0,0.7272727272727273,90.0,324.0,6599.849099999999,132036.6023702,23,0.71875,6165.544500021497
exp1,3,23,Group2,0.1371,1079.0,1024.0,0.9490268767377201,55.0,1073.0,2107.2001,132032.1096372,11,0.34375,1672.8115000005346
exp1,3,20,Group2,0.0307,87.0,48.0,0.5517241379310345,39.0,82.0,6579.469300000001,132036.5815,15,0.46875,6144.674300012412
exp1,3,25,Group2,0.1087,358.0,240.0,0.6703910614525139,118.0,353.0,2090.9487999999997,132032.0935575,9,0.28125,1656.7318000015803
exp1,3,17,Group2,0.2486,467.0,432.0,0.9250535331905781,35.0,462.0,6614.9236,132036.6168722,27,0.84375,6180.046499997843
exp1,3,1,Group1,0.0319,1719.0,1552.0,0.9028504944735312,167.0,1633.0,2070.0385,132032.0701704,4,0.125,1633.344700007001
exp1,4,19,Group2,0.2021,1915.0,880.0,0.4595300261096606,1035.0,1910.0,7948.212500000001,132047.9503146,10,0.35714285714285715,7230.083799979184
exp1,4,25,Group2,0.4022,514.0,352.0,0.6848249027237354,162.0,508.0,8004.054800000001,132048.006957,22,0.7857142857142857,7286.7261999927
exp1,4,1,Group1,0.1356,1838.0,1712.0,0.9314472252448314,126.0,1804.0,7931.204100000001,132047.9314397,6,0.21428571428571427,7211.2089000002015
exp1,4,26,Group2,0.3673,1249.0,1184.0,0.9479583666933546,65.0,1243.0,7997.271800000001,132048.00023910002,20,0.7142857142857143,7280.0083000038285
exp1,4,4,Group1,0.2343,2117.0,1664.0,0.786017949929145,453.0,2107.0,7959.618200000001,132047.9602525,12,0.42857142857142855,7240.021699981298
exp1,4,9,Group1,0.4962,2201.0,1280.0,0.5815538391640164,921.0,1964.0,8058.349099999999,132048.0597453,27,0.9642857142857143,7339.5144999958575
exp1,4,22,Group2,0.4727,2453.0,1568.0,0.6392172849571953,885.0,2448.0,8032.773000000001,132048.0354457,25,0.8928571428571429,7315.214899979765
exp1,4,16,Group1,0.334,1042.0,576.0,0.5527831094049904,466.0,822.0,7990.8828,132047.9928168,18,0.6428571428571429,7272.585999977309
exp1,4,31,Group2,0.0373,3098.0,2064.0,0.6662362814719174,1034.0,3092.0,717.0935000000001,132040.7202308,1,0.03571428571428571,0.0
exp1,4,5,Group1,0.2674,2176.0,784.0,0.3602941176470588,1392.0,1819.0,7971.3002,132047.9720676,15,0.5357142857142857,7251.836799987359
exp1,4,14,Group1,0.4537,3768.0,2496.0,0.6624203821656051,1272.0,3531.0,8037.4277,132048.0392814,26,0.9285714285714286,7319.050599995535
exp1,4,6,Group1,0.0073,1321.0,1072.0,0.8115064345193036,249.0,1291.0,1308.3214,132041.3089287,2,0.07142857142857142,588.6978999769781
exp1,4,7,Group1,0.2509,3188.0,1968.0,0.617314930991217,1220.0,2951.0,7963.504,132047.9644549,13,0.4642857142857143,7244.224099995336
exp1,4,8,Group1,0.3857,2218.0,944.0,0.42560865644724977,1274.0,1981.0,7996.1141,132047.99729980002,19,0.6785714285714286,7277.069000003394
exp1,4,11,Group1,0.0802,3343.0,2080.0,0.6221956326652707,1263.0,3106.0,10650.794600000001,132050.65197479998,28,1.0,9931.743999972241
exp1,4,28,Group2,0.1515,3106.0,2064.0,0.6645202833226014,1042.0,3101.0,7933.5389000000005,132047.9364904,7,0.25,7216.259599983459
exp1,4,18,Group2,0.4359,2366.0,1328.0,0.5612848689771767,1038.0,2361.0,8013.068500000001,132048.0153044,24,0.8571428571428571,7295.073599991156
exp1,4,2,Group1,0.2841,2405.0,1184.0,0.49230769230769234,1221.0,2209.0,7969.7773,132047.9702614,14,0.5,7250.030600000173
exp1,4,30,Group2,0.2183,3102.0,2064.0,0.6653771760154739,1038.0,3096.0,7955.9189,132047.9591372,11,0.39285714285714285,7238.906399987172
exp1,4,32,Group2,0.3008,1543.0,1248.0,0.8088139987038238,295.0,1537.0,7978.0193,132047.9815201,16,0.5714285714285714,7261.289299989585
exp1,4,17,Group2,0.3173,525.0,464.0,0.8838095238095238,61.0,519.0,7989.1009,132047.9911182,17,0.6071428571428571,7270.887399994535
exp1,4,24,Group2,0.1677,519.0,320.0,0.6165703275529865,199.0,514.0,7942.1795,132047.9447472,8,0.2857142857142857,7224.516399990534
exp1,4,12,Group1,0.096,1935.0,784.0,0.40516795865633076,1151.0,1698.0,7926.499,132047.927795,4,0.14285714285714285,7207.564199983608
exp1,4,23,Group2,0.1121,1176.0,1072.0,0.9115646258503401,104.0,1170.0,7926.745100000001,132047.92915719998,5,0.17857142857142858,7208.926399966003
exp1,4,27,Group2,0.184,2058.0,1616.0,0.7852283770651117,442.0,2052.0,7944.414400000001,132047.94729840002,9,0.32142857142857145,7227.067600004375
exp1,4,20,Group2,0.4187,118.0,80.0,0.6779661016949152,38.0,113.0,8006.7015,132048.0091202,23,0.8214285714285714,7288.889399991604
