tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group2,2233.0,0.737475,1472.0,19680.0149
16,Group2,2232.0,0.737845,1472.0,19680.2351
16,Group2,2231.0,0.738215,1472.0,19712.5006
16,Group1,7181.0,0.711509,5088.0,19736.7563
16,Group1,6951.0,0.703195,4864.0,19715.3111
16,Group1,7273.0,0.709905,5024.0,5126.1193
16,Group1,6950.0,0.68932,4544.0,19721.0247
16,Group1,6840.0,0.688172,4544.0,2605.3725
16,Group1,6926.0,0.703297,4864.0,19688.1381
16,Group2,2232.0,0.737845,1472.0,19691.4273
16,Group2,2233.0,0.737475,1472.0,19710.3513
16,Group1,6926.0,0.703297,4864.0,21655.2234
16,Group2,2003.0,0.708918,1264.0,19739.2926
16,Group1,8973.0,0.76859,6832.0,21081.8251
16,Group2,2830.0,0.809905,2224.0,27036.3128
16,Group1,9047.0,0.77147,6944.0,21003.8351
16,Group2,2831.0,0.80961,2224.0,764.2761
16,Group2,2830.0,0.809905,2224.0,21112.866
16,Group1,9349.0,0.779232,7264.0,21116.6186
16,Group1,9173.0,0.771556,6944.0,21150.3653
16,Group1,8975.0,0.768418,6832.0,20999.4841
16,Group2,2830.0,0.809905,2224.0,490.0321
16,Group2,2709.0,0.794597,2000.0,21088.773
16,Group2,2830.0,0.809905,2224.0,21035.1023
16,Group2,2830.0,0.809905,2224.0,21049.4064
16,Group1,9242.0,0.778247,7184.0,21053.2288
16,Group2,2829.0,0.8102,2224.0,21032.004
16,Group1,11439.0,0.816894,9168.0,35493.6224
16,Group2,3488.0,0.842105,2816.0,24517.0969
16,Group1,11311.0,0.814198,8992.0,24567.1054
16,Group1,11474.0,0.819721,9344.0,24489.6854
16,Group1,11349.0,0.818987,9248.0,35450.6162
16,Group1,11197.0,0.814635,9040.0,24512.3827
16,Group1,11169.0,0.812698,8960.0,24560.7427
16,Group2,3488.0,0.842105,2816.0,24457.1166
16,Group1,11167.0,0.812846,8960.0,35489.1955
16,Group2,3488.0,0.842105,2816.0,24473.3532
16,Group2,3388.0,0.83897,2704.0,24477.3826
16,Group2,3488.0,0.842105,2816.0,24458.5821
16,Group2,3488.0,0.842105,2816.0,24487.4854
