exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,2,28,Group2,0.0122,1045.0,0.0,1045.0,680.5038,132020.68331599998,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,590.7471999526024
exp1,2,15,Group1,0.0128,1078.0,48.0,1030.0,3085.3497,132023.0868625,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,2994.2936999723315
exp1,2,24,Group2,0.1411,1037.0,0.0,1037.0,3127.5714999999996,132023.1301126,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3037.543799960986
exp1,2,21,Group2,0.3358,1039.0,0.0,1039.0,3183.4773999999998,132023.18591320002,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3093.3443999965675
exp1,2,16,Group1,0.0766,1124.0,32.0,1092.0,3110.637,132023.1123136,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3019.7447999671567
exp1,2,14,Group1,0.0181,646.0,48.0,598.0,651.9643,132020.65338240002,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,560.8135999937076
exp1,2,5,Group1,0.2574,334.0,64.0,270.0,3154.4888999999994,132023.15524629998,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3062.6774999545887
exp1,2,13,Group1,0.1562,1216.0,48.0,1168.0,3129.2027,132023.13065890002,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3038.0900999880396
exp1,2,23,Group2,0.0513,468.0,0.0,468.0,3112.1938,132023.1145451,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3021.9762999622617
exp1,2,32,Group2,0.0341,777.0,0.0,777.0,677.0694000000001,132020.6803035,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,587.7346999768633
exp1,2,29,Group2,0.3161,817.0,0.0,817.0,3193.6728,132023.19688889998,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3104.3200999556575
exp1,2,2,Group1,0.0893,954.0,832.0,122.0,3136.8073999999997,132023.1370967,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3044.5278999686707
exp1,2,26,Group2,0.2709,489.0,0.0,489.0,3174.3277000000003,132023.1771986,0.0,0.0,32,18849.0,22145.0,2.3009033203125,3113.747899973532,3084.629799966933
exp1,3,15,Group1,0.1481,2131.0,1072.0,1059.0,5978.6868,132035.9803349,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5619.623400009004
exp1,3,2,Group1,0.3134,993.0,944.0,49.0,6019.848000000001,132036.0203614,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5659.649900015211
exp1,3,1,Group1,0.0331,1257.0,1008.0,249.0,1063.5397999999998,132031.0636729,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,702.9614000057336
exp1,3,7,Group1,0.3829,593.0,256.0,337.0,6025.4034,132036.0264863,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5665.774799999781
