exp_label,tenant_count,turn_index,sum_input_tokens,sum_output_tokens,sum_uncached_context_tokens,sum_p95_tbt_ms,mean_p95_tbt_ms,n
exp3,16,3,50013.0,20496.0,23997.0,484.7715000000001,30.298218750000007,16
exp3,16,4,73516.0,20496.0,23644.0,632.5647,39.53529375,16
exp3,16,5,95267.0,20496.0,21891.0,769.3175,48.08234375,16
exp3,16,6,118220.0,20496.0,23132.0,913.6004,57.100025,16
exp3,16,7,140684.0,20496.0,22524.0,1053.8363,65.86476875,16
exp3,16,8,164726.0,20496.0,24198.0,1204.6254999999999,75.28909374999999,16
exp3,16,9,187432.0,20496.0,22744.0,1346.1949,84.13718125,16
exp3,16,10,209176.0,20496.0,21800.0,1485.5369999999998,92.84606249999999,16
exp3,32,1,5540.0,40985.0,3620.0,660.6285,20.644640625,32
exp3,32,2,51157.0,40991.0,45717.0,1180.5640999999996,36.89262812499999,32
exp3,32,3,98015.0,40992.0,47039.0,1794.6099,56.081559375,32
exp3,32,4,144670.0,40992.0,46846.0,2396.4789,74.889965625,32
exp3,32,5,189161.0,40992.0,44697.0,2983.061200000001,93.22066250000003,32
exp3,32,6,234920.0,40992.0,53208.0,3573.9799,111.686871875,32
exp3,32,7,279890.0,40992.0,117442.0,3775.944,117.99825,32
exp3,32,8,325858.0,40992.0,192882.0,3803.6707000000006,118.86470937500002,32
exp3,32,9,372699.0,40992.0,300395.0,3713.062000000001,116.03318750000003,32
exp3,32,10,417203.0,40990.0,316147.0,3657.2586,114.28933125,32
exp3,8,1,2971.0,10248.0,1851.0,78.7043,9.8380375,8
exp3,8,2,14401.0,10248.0,11473.0,111.441,13.930125,8
exp3,8,3,26092.0,10248.0,11724.0,148.73160000000001,18.591450000000002,8
exp3,8,4,37458.0,10248.0,11410.0,184.94490000000002,23.118112500000002,8
exp3,8,5,48174.0,10248.0,10798.0,219.2829,27.4103625,8
exp3,8,6,59701.0,10248.0,11589.0,255.9765,31.9970625,8
exp3,8,7,71160.0,10248.0,11496.0,292.3063,36.5382875,8
exp3,8,8,83174.0,10248.0,12070.0,331.5544,41.4443,8
exp3,8,9,94316.0,10248.0,11148.0,366.60859999999997,45.826074999999996,8
exp3,8,10,105045.0,10248.0,10757.0,400.78770000000003,50.098462500000004,8
