exp_label,group_label,turn_index,filtered_batch_size,batch_total_input_tokens,batch_total_prefix_hit_tokens,batch_total_computation_tokens,batch_prefix_hit_rate,batch_mean_prefill_ms,batch_mean_prefill_per_input_token_ms,fit_prefill_from_compute_ms,fit_prefill_no_hit_ms,estimated_prefix_hit_gain_ms
exp1,Group1,7,12,60310.0,48784.0,11526.0,0.8088874150223844,14949.880525,0.2478839417177914,13320.630486296359,48895.23360708255,33945.35308208255
exp1,Group2,7,13,38105.0,30336.0,7769.0,0.7961159952762105,13199.303653846153,0.3463929577180463,10580.925174620526,32702.751188726994,19503.44753488084
exp1,Group1,8,11,70063.0,58448.0,11615.0,0.8342206300044246,18139.783900000002,0.2589067539214707,13385.531676804516,56007.38316917315,37867.599269173144
exp1,Group2,8,11,48807.0,42336.0,6471.0,0.867416559100129,18910.885245454545,0.3874625616295725,9634.388710804922,40506.93704061806,21596.051795163516
exp1,Group1,9,10,74772.0,63792.0,10980.0,0.8531535869041887,19954.698539999994,0.2668739439897287,12922.472620931705,59441.31245122837,39486.61391122837
exp1,Group2,9,11,57827.0,49280.0,8547.0,0.8521970705725699,21187.608936363635,0.36639647459428354,11148.263671422177,47084.56331459091,25896.954378227274
exp1,Group1,10,12,107172.0,94832.0,12340.0,0.8848579852946665,23916.605658333337,0.2231609530318865,13914.221150045127,83068.2627036364,59151.65704530306
exp1,Group2,10,11,57420.0,50080.0,7340.0,0.8721699756182515,22830.006036363633,0.3975967613438459,10268.086851834014,46787.76798271653,23957.761946352894
exp2,Group1,1,16,3367.0,1456.0,1911.0,0.43243243243243246,341.348325,0.10138055390555391,6309.114230836387,7370.868538475463,7029.520213475463
exp2,Group2,1,16,123.0,0.0,123.0,0.0,319.5477125,2.5979488821138212,5005.256605796093,5005.256605796093,4685.708893296093
exp2,Group1,2,16,11906.0,3296.0,8610.0,0.2768352091382496,2421.1758125,0.203357619057618,11194.204963579636,13597.736692960403,11176.560880460403
exp2,Group2,2,16,9101.0,0.0,9101.0,0.0,2279.0947125,0.2504224494561037,11552.255351663967,11552.255351663967,9273.160639163967
exp2,Group1,3,16,23769.0,11792.0,11977.0,0.49610837645672934,5191.231462499999,0.21840344408683576,13649.511799995002,22248.55492889609,17057.32346639609
exp2,Group2,3,16,18678.0,8992.0,9686.0,0.48142199378948497,4523.526875,0.24218475613020662,11978.853064554667,18536.060986457534,14012.534111457535
exp2,Group1,4,13,30272.0,18000.0,12272.0,0.5946088794926004,7159.889492307692,0.23651854823955115,13864.633723589457,26990.717197149464,19830.827704841773
exp2,Group2,4,15,24293.0,16512.0,7781.0,0.6797019717614128,7492.468179999999,0.3084208693862429,10589.675896936234,22630.669803348614,15138.201623348614
exp2,Group1,5,15,49204.0,36544.0,12660.0,0.7427038452158361,9000.157426666667,0.18291515784624557,14147.573745130638,40796.44010389602,31796.282677229356
exp2,Group2,5,11,27258.0,20208.0,7050.0,0.7413603345806735,10692.702554545456,0.3922775902320587,10056.61106253777,24792.827442187805,14100.124887642349
exp2,Group1,6,16,69559.0,52416.0,17143.0,0.7535473482942538,14164.351762500002,0.2036307560847626,17416.697756906724,55639.852831913464,41475.50106941346
exp2,Group2,6,16,43619.0,35360.0,8259.0,0.8106559068295927,15202.888068749999,0.3485382074038836,10938.246335845215,36723.70809279421,21520.82002404421
exp2,Group1,7,12,60310.0,48784.0,11526.0,0.8088874150223844,14949.880525,0.2478839417177914,13320.630486296359,48895.23360708255,33945.35308208255
exp2,Group2,7,13,38105.0,30336.0,7769.0,0.7961159952762105,13199.303653846153,0.3463929577180463,10580.925174620526,32702.751188726994,19503.44753488084
exp2,Group1,8,11,70063.0,58448.0,11615.0,0.8342206300044246,18139.783900000002,0.2589067539214707,13385.531676804516,56007.38316917315,37867.599269173144
exp2,Group2,8,11,48807.0,42336.0,6471.0,0.867416559100129,18910.885245454545,0.3874625616295725,9634.388710804922,40506.93704061806,21596.051795163516
exp2,Group1,9,10,74772.0,63792.0,10980.0,0.8531535869041887,19954.698539999994,0.2668739439897287,12922.472620931705,59441.31245122837,39486.61391122837
exp2,Group2,9,11,57827.0,49280.0,8547.0,0.8521970705725699,21187.608936363635,0.36639647459428354,11148.263671422177,47084.56331459091,25896.954378227274
exp2,Group1,10,12,107172.0,94832.0,12340.0,0.8848579852946665,23916.605658333337,0.2231609530318865,13914.221150045127,83068.2627036364,59151.65704530306
exp2,Group2,10,11,57420.0,50080.0,7340.0,0.8721699756182515,22830.006036363633,0.3975967613438459,10268.086851834014,46787.76798271653,23957.761946352894
exp3,Group1,1,16,3367.0,1456.0,1911.0,0.43243243243243246,341.348325,0.10138055390555391,6309.114230836387,7370.868538475463,7029.520213475463
exp3,Group2,1,16,123.0,0.0,123.0,0.0,319.5477125,2.5979488821138212,5005.256605796093,5005.256605796093,4685.708893296093
exp3,Group1,2,16,11906.0,3296.0,8610.0,0.2768352091382496,2421.1758125,0.203357619057618,11194.204963579636,13597.736692960403,11176.560880460403
exp3,Group2,2,16,9101.0,0.0,9101.0,0.0,2279.0947125,0.2504224494561037,11552.255351663967,11552.255351663967,9273.160639163967
exp3,Group1,3,16,23769.0,11792.0,11977.0,0.49610837645672934,5191.231462499999,0.21840344408683576,13649.511799995002,22248.55492889609,17057.32346639609
exp3,Group2,3,16,18678.0,8992.0,9686.0,0.48142199378948497,4523.526875,0.24218475613020662,11978.853064554667,18536.060986457534,14012.534111457535
exp3,Group1,4,13,30272.0,18000.0,12272.0,0.5946088794926004,7159.889492307692,0.23651854823955115,13864.633723589457,26990.717197149464,19830.827704841773
exp3,Group2,4,15,24293.0,16512.0,7781.0,0.6797019717614128,7492.468179999999,0.3084208693862429,10589.675896936234,22630.669803348614,15138.201623348614
exp3,Group1,5,15,49204.0,36544.0,12660.0,0.7427038452158361,9000.157426666667,0.18291515784624557,14147.573745130638,40796.44010389602,31796.282677229356
exp3,Group2,5,11,27258.0,20208.0,7050.0,0.7413603345806735,10692.702554545456,0.3922775902320587,10056.61106253777,24792.827442187805,14100.124887642349
exp3,Group1,6,16,69559.0,52416.0,17143.0,0.7535473482942538,14164.351762500002,0.2036307560847626,17416.697756906724,55639.852831913464,41475.50106941346
exp3,Group2,6,16,43619.0,35360.0,8259.0,0.8106559068295927,15202.888068749999,0.3485382074038836,10938.246335845215,36723.70809279421,21520.82002404421
exp3,Group1,7,12,60310.0,48784.0,11526.0,0.8088874150223844,14949.880525,0.2478839417177914,13320.630486296359,48895.23360708255,33945.35308208255
exp3,Group2,7,13,38105.0,30336.0,7769.0,0.7961159952762105,13199.303653846153,0.3463929577180463,10580.925174620526,32702.751188726994,19503.44753488084
exp3,Group1,8,11,70063.0,58448.0,11615.0,0.8342206300044246,18139.783900000002,0.2589067539214707,13385.531676804516,56007.38316917315,37867.599269173144
exp3,Group2,8,11,48807.0,42336.0,6471.0,0.867416559100129,18910.885245454545,0.3874625616295725,9634.388710804922,40506.93704061806,21596.051795163516
exp3,Group1,9,10,74772.0,63792.0,10980.0,0.8531535869041887,19954.698539999994,0.2668739439897287,12922.472620931705,59441.31245122837,39486.61391122837
exp3,Group2,9,11,57827.0,49280.0,8547.0,0.8521970705725699,21187.608936363635,0.36639647459428354,11148.263671422177,47084.56331459091,25896.954378227274
exp3,Group1,10,12,107172.0,94832.0,12340.0,0.8848579852946665,23916.605658333337,0.2231609530318865,13914.221150045127,83068.2627036364,59151.65704530306
exp3,Group2,10,11,57420.0,50080.0,7340.0,0.8721699756182515,22830.006036363633,0.3975967613438459,10268.086851834014,46787.76798271653,23957.761946352894
