arrival_time_epoch_s,compressed_elapsed_ms,tenant_count,tenant_id,turn_index,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms
1778694262.957382,556659.163,32,11,5,0.4992,12984.4518,0.0000,12984.9510
1778694262.961746,556663.527,32,31,5,368.7858,20036.4004,0.0000,20405.1862
1778694262.966011,556667.792,32,10,5,0.5185,12988.7390,0.0000,12989.2575
1778694262.969295,556671.076,32,13,5,368.7104,20006.1458,0.0000,20374.8562
1778694262.972114,556673.895,32,15,5,368.6429,19991.2036,0.0000,20359.8465
1778694262.975286,556677.067,32,18,5,368.6597,19994.0674,0.0000,20362.7271
1778694262.976722,556678.503,32,12,5,368.6764,20002.6943,0.0000,20371.3707
1778694503.024625,796726.406,32,19,6,0.3234,14063.1849,0.0000,14063.5083
1778694503.025084,796726.865,32,4,6,0.5167,14190.2770,0.0000,14190.7937
1778694503.027220,796729.001,32,7,6,0.3934,14108.9510,0.0000,14109.3444
1778694503.029285,796731.066,32,6,6,43.6704,28206.3434,0.0000,28250.0138
1778694503.031804,796733.585,32,24,6,43.6869,28230.1181,0.0000,28273.8050
1778694503.032185,796733.966,32,14,6,0.0382,1265.7186,0.0000,1265.7568
1778694503.034472,796736.253,32,9,6,0.5409,14193.0003,0.0000,14193.5412
1778694503.036563,796738.344,32,23,6,0.3747,14105.1763,0.0000,14105.5510
1778694503.038304,796740.085,32,25,6,0.3577,14081.7960,0.0000,14082.1537
1778694503.038703,796740.484,32,32,6,0.3062,14065.5187,0.0000,14065.8249
1778694503.041815,796743.596,32,1,6,0.4975,14167.7920,0.0000,14168.2895
1778694503.043698,796745.479,32,8,6,0.4798,14159.4995,0.0000,14159.9793
1778694503.046516,796748.297,32,15,6,0.4452,14134.7399,0.0000,14135.1851
1778694503.046949,796748.730,32,22,6,0.4275,14123.8101,0.0000,14124.2376
1778694503.048402,796750.183,32,3,6,43.8074,28309.3116,0.0000,28353.1190
1778694503.050535,796752.316,32,16,6,13057.7901,16441.4896,0.0000,29499.2797
1778694503.052329,796754.110,32,2,6,43.6535,28199.4925,0.0000,28243.1460
1778694503.054480,796756.261,32,11,6,43.6367,28177.7101,0.0000,28221.3468
1778694503.058399,796760.180,32,27,6,0.3404,14085.8949,0.0000,14086.2353
1778694503.060591,796762.372,32,10,6,43.6199,28174.6382,0.0000,28218.2581
1778694503.062854,796764.635,32,13,6,43.7742,28280.8934,0.0000,28324.6676
1778694503.065015,796766.796,32,29,6,0.2888,14048.1700,0.0000,14048.4588
1778694503.066024,796767.805,32,30,6,43.7037,28227.2904,0.0000,28270.9941
1778694503.066323,796768.104,32,12,6,43.7908,28302.9417,0.0000,28346.7325
1778694503.068054,796769.835,32,26,6,0.4623,14138.5465,0.0000,14139.0088
1778694503.070577,796772.358,32,17,6,0.4102,14120.9275,0.0000,14121.3377
1778694503.072285,796774.066,32,31,6,43.7568,28278.2594,0.0000,28322.0162
1778694503.077101,796778.882,32,18,6,43.5865,29477.1179,0.0000,29520.7044
1778694503.079847,796781.628,32,5,6,0.2716,28370.8906,0.0000,28371.1622
1778694503.082726,796784.507,32,21,6,43.7377,28257.4029,0.0000,28301.1406
1778694503.083108,796784.889,32,28,6,43.7206,28252.7332,0.0000,28296.4538
1778694503.087250,796789.031,32,20,6,43.6031,28157.3803,0.0000,28200.9834
1778694774.466628,1068168.409,32,23,7,0.5261,18898.1251,0.0000,18898.6512
1778694774.468988,1068170.769,32,2,7,975.6211,33887.9448,0.0000,34863.5659
1778694774.471106,1068172.887,32,10,7,0.4463,18860.9631,0.0000,18861.4094
1778694774.471574,1068173.355,32,19,7,0.3419,18785.7057,0.0000,18786.0476
1778694774.474256,1068176.037,32,27,7,0.2572,18727.3828,0.0000,18727.6400
1778694774.476671,1068178.452,32,31,7,0.0261,1666.5267,0.0000,1666.5528
1778694774.478404,1068180.185,32,17,7,0.0099,2645.2758,0.0000,2645.2857
1778694774.479064,1068180.845,32,18,7,0.4640,18883.0121,0.0000,18883.4761
1778694774.480372,1068182.153,32,25,7,0.3251,18786.5565,0.0000,18786.8816
1778694774.483009,1068184.790,32,8,7,975.5703,33857.2170,0.0000,34832.7873
1778694774.485605,1068187.386,32,6,7,0.2743,18732.7256,0.0000,18732.9999
1778694774.489810,1068191.591,32,29,7,0.4121,18840.1037,0.0000,18840.5158
1778694774.491593,1068193.374,32,3,7,0.3586,18802.9559,0.0000,18803.3145
1778694774.493358,1068195.139,32,9,7,975.5027,33811.1040,0.0000,34786.6067
1778694774.493797,1068195.578,32,28,7,0.3950,18833.9891,0.0000,18834.3841
1778694774.495934,1068197.715,32,13,7,975.6740,33946.0608,0.0000,34921.7348
1778694774.499220,1068201.001,32,26,7,975.6381,33913.5010,0.0000,34889.1391
1778694774.499865,1068201.646,32,21,7,0.4291,18856.3936,0.0000,18856.8227
