exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,7,18,Group2,92.4433,4015.0,48.0,3967.0,47708.88087700587,75098.233037617,75050.431713483,75050.52415674,16,35789.0,159069.0,4.3687744140625,63670.91749300016,47801.85588799941
exp1,7,30,Group2,92.3985,4128.0,48.0,4080.0,47708.88087700587,75098.233037617,75050.431758285,75050.52415674,16,35789.0,159069.0,4.3687744140625,63670.91749300016,47801.85588799941
exp1,7,15,Group1,0.5755,13309.0,11168.0,2141.0,29773.67582100851,75080.20582636,75050.431575051,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,24,Group2,0.5994,4016.0,3376.0,640.0,29773.67582100851,75080.20582636,75050.431551155,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,7,Group1,0.6261,13310.0,11168.0,2142.0,29773.67582100851,75080.20582636,75050.431524476,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,4,Group1,0.0374,13639.0,11312.0,2327.0,5234.5973560004495,75050.431181729,75045.196546925,75045.196584373,16,35789.0,159069.0,4.3687744140625,63670.91749300016,0.0
exp1,7,27,Group2,0.5321,4496.0,3968.0,528.0,29773.67582100851,75080.20582636,75050.431618445,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,6,Group1,0.6511,13591.0,11344.0,2247.0,29773.67582100851,75080.20582636,75050.431499429,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,11,Group1,92.4215,13307.0,11168.0,2139.0,47708.88087700587,75098.233037617,75050.431735217,75050.52415674,16,35789.0,159069.0,4.3687744140625,63670.91749300016,47801.85588799941
exp1,7,3,Group1,92.4613,13642.0,11296.0,2346.0,47708.88087700587,75098.233037617,75050.431695439,75050.52415674,16,35789.0,159069.0,4.3687744140625,63670.91749300016,47801.85588799941
exp1,7,14,Group1,0.512,13310.0,11168.0,2142.0,29773.67582100851,75080.20582636,75050.431638561,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,9,Group1,0.4948,13308.0,11152.0,2156.0,29773.67582100851,75080.20582636,75050.431655712,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,2,Group1,0.5548,13656.0,11472.0,2184.0,29773.67582100851,75080.20582636,75050.43159573,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,29774.644631004776
exp1,7,13,Group1,92.3614,13310.0,11168.0,2142.0,63577.94248200662,75114.102099222,75050.431795368,75050.52415674,16,35789.0,159069.0,4.3687744140625,63670.91749300016,63670.91749300016
exp1,7,20,Group2,0.4772,4016.0,48.0,3968.0,47800.88707800314,75098.233037617,75050.431673327,75050.432150539,16,35789.0,159069.0,4.3687744140625,63670.91749300016,47801.85588799941
exp1,8,27,Group2,0.482,5026.0,0.0,5026.0,15210.695690999273,75741.976988673,75726.765810995,75726.766292982,7,24047.0,54671.0,2.9354248046875,42308.98453599366,15211.390044001746
exp1,8,21,Group2,0.0171,4610.0,48.0,4562.0,8597.229478007648,75729.451383555,75720.85413695,75720.854154077,7,24047.0,54671.0,2.9354248046875,42308.98453599366,2685.784925997723
exp1,8,28,Group2,0.5254,4855.0,0.0,4855.0,15210.695690999273,75741.976988673,75726.765767572,75726.766292982,7,24047.0,54671.0,2.9354248046875,42308.98453599366,15211.390044001746
exp1,8,19,Group2,0.464,4607.0,48.0,4559.0,42308.290182991186,75769.074583165,75726.765829003,75726.766292982,7,24047.0,54671.0,2.9354248046875,42308.98453599366,42308.98453599366
exp1,8,23,Group2,0.0071,4610.0,4016.0,594.0,8597.229478007648,75729.451383555,75720.854146941,75720.854154077,7,24047.0,54671.0,2.9354248046875,42308.98453599366,2685.784925997723
exp1,8,14,Group1,0.0453,15602.0,13296.0,2306.0,5947.4363530025585,75726.765598629,75720.818116953,75720.818162276,7,24047.0,54671.0,2.9354248046875,42308.98453599366,0.0
